快来围观王弱股他又光腚转圈了,0.0,25108.0,144,2.5,2015/8/19 20:53
601288:农业银行关于汇金公司所持本行A股股份变,1.0,245824.0,510,0,2015/12/30 18:19
农业银行(601288)大宗交易数据一览(08-19),1.0,11684.0,449,0,2015/8/19 20:57
银行股整体低迷 农行能否扛起上涨大旗？  ,1.0,50756.0,847,4,2015/8/19 21:05
农业银行：汇金受让公司12.55亿A股,1.0,16079.0,195,0,2015/8/19 18:11
汇金公司受让农业银行12.55亿股,1.0,185943.0,200,0,2015/8/19 16:44
601288才是真正的证金概念，明天直接一字涨停，,1.0,7758.0,247,4,2015/8/19 18:11
汇金混蛋，偷偷大幅度减持农行,0.0,7017.0,225,4,2015/8/19 17:59
“王的女人”纷纷抛头露面 挺身而出拯救大盘（,0.0,71633.0,2002,0,2015/8/19 16:39
河北信盈资产管理股份有限公司向全国机构宣战呢,2.0,11877.0,195,2.5,2015/8/20 9:53
蓝筹股虽疲软，但值得挖掘？ ,0.0,24241.0,2315,4.5,2015/8/20 10:11
昨日以3.34元清仓农行，只留下500股留个纪念！,0.0,14349.0,404,3.5,2015/8/20 15:51
抛弃价值投资的市场 最后一定是股灾！！！,0.0,2139.0,134,4,2015/8/20 15:09
【讨论】大盘宽幅震荡 农行能否扛起维稳大旗？,1.0,6168.0,648,4.5,2015/8/20 13:37
证金系集体井喷 东旭光电等“新贵”上演“秒停,2.0,27058.0,4461,0,2015/8/20 3:07
散户注意了，还有近8亿对不上帐，抢啊！,1.0,3589.0,461,4,2015/8/20 3:42
大盘暴跌，农业银行为何拒绝下跌？说明什么？,1.0,13837.0,1347,4,2015/8/21 18:16
王若狗套在农行里，转着圈的丢人现眼,0.0,4664.0,343,3.5,2015/8/21 9:02
顾铭德:中国真的需要股指期货吗？,2.0,4416.0,1133,3.5,2015/8/21 5:43
卖出农行清单，最后一贴！,0.0,5847.0,134,3.5,2015/8/21 10:00
我看汇金正与人勾结做空农行,0.0,3650.0,161,3.5,2015/8/21 10:00
为什么农行抗跌？,1.0,13281.0,435,4,2015/8/21 16:38
农业银行  你知道为什么银行股是赚的人数最少而,1.0,4834.0,302,2,2015/8/21 13:36
周末市场降准预期依然强烈,1.0,12339.0,269,4,2015/8/21 8:22
汇金受让证金12亿股农行股票，如何保值增值呢？,2.0,5328.0,201,3.5,2015/8/22 19:45
养老金只能买农行，哈哈哈哈。,1.0,8947.0,196,3.5,2015/8/23 18:43
论养老金入市,1.0,19523.0,358,4,2015/8/23 18:50
汇金借筹码卖出只为做银行的庄家砸盘吸筹,0.0,3974.0,359,3.5,2015/8/23 3:29
作为最大新兴国家的中国，其五大行最赚钱，可股,1.0,8610.0,274,3.5,2015/8/24 23:00
