我的生意大不如前了,0.0,5341.0,135,0,2017/8/28 19:50
社会欠了应该还给浦发的 64% 的涨幅 ! ! !,1.0,96876.0,498,3,2017/8/30 10:17
银行要来了，大家让让。[大笑],1.0,11145.0,136,0,2017/7/19 10:11
笑谈浦发与招行2017年中资产质量,1.0,25925.0,3794,2.5,2017/9/3 15:34
建议愿意长期投资的朋友们买点银行股,1.0,46468.0,238,4,2017/5/2 18:50
次新股0.98元业绩股价不到10块仅此1家江苏银行,0.0,34539.0,184,2.5,2017/4/27 20:50
本年度截止目前已净资收益率64.5%,1.0,14823.0,144,4,2017/8/29 10:45
难不成这个月也不用看浦发？12.72,0.0,9504.0,176,4,2017/9/4 11:07
那个啥 闲庭信步YW3...自己不赚银子怪 散户买多,0.0,6957.0,164,3,2017/9/4 20:01
浦发银行  12.40左右地板价 机会给有准备人大举,1.0,8011.0,28,3.5,2017/8/25 8:55
真是见鬼了，平安银行这垃圾都涨上去了，这傻强,0.0,8381.0,172,3,2017/9/4 15:00
换哦！煤炭行业中的茅台业绩增长超十倍！,1.0,10192.0,516,0,2017/7/19 13:20
涨一分钱也不错啊。看我的。,1.0,7514.0,166,4,2017/9/4 16:41
千万大户在浦发特别多，小蟑螂你不该去奏热闹,1.0,5878.0,134,4,2017/9/4 19:22
散户必看炒股格言和现金策略！ 孙子云：先立于,2.0,42110.0,715,4,2017/4/18 7:37
巴菲特5分钟看懂财报就买，有人多年看不懂,2.0,5108.0,243,4,2017/9/4 11:28
浦发银行，交通银行，民生银行，三个股票的股值,2.0,18343.0,401,2.5,2017/8/29 20:18
朋友是数学老师近几年也迷上股票，虽沒赚多少，,0.0,101115.0,360,3,2017/6/1 19:24
破天荒买了破净地产股世茂股份玩玩,1.0,14766.0,128,4,2017/8/25 13:23
[爱心提示]A股正在发生革命性的变化，去高市盈,1.0,10977.0,3271,3,2017/6/12 0:09
[兴奋]女士们先生们朋友们：中国漂亮50是一次惊,1.0,9907.0,1740,3,2017/6/13 8:32
瞎说说大盘,2.0,10590.0,120,3,2017/9/2 6:02
阿里爸爸毁了基础经济，余额宝提高了基础利率。,1.0,21872.0,154,3,2017/8/12 20:11
